family,kernel,variant,input_isa,output_isa,mca_fused_uop,mca_total,machine,label,label_type,kernel_metric,bit_exact,report
dct,dct32,ir-fused8,sve2,sve2,8398,11435,710,-13.6,kernel,ticks_pct,yes,docs/65-ir-granularity-audit-20260816.md
dct,dct32,ir-neon,sve2,neon,11910,13658,N1,-6.9,kernel,ticks_pct,yes,docs/65-ir-granularity-audit-20260816.md
dct,dct32,op4032,sve2,sve2,4032,,950,1.7143,kernel,ratio_vs_sve,no (policy),reports/950-quicktest-4bb48e3-20260816.txt
dct,dct32,op4032,sve2,sve2,4032,,950,1.4015,kernel,ratio_vs_neon,no (policy),reports/950-quicktest-4bb48e3-20260816.txt
dct,dct32,opbase,sve2,sve2,8114,,950,1.0,kernel,ratio_vs_sve,yes,reports/950-quicktest-4bb48e3-20260816.txt
dct,dct32,opbase,sve2,sve2,8114,,950,0.8009,kernel,ratio_vs_neon,yes,reports/950-quicktest-4bb48e3-20260816.txt
,dct8+dct16+dct32,op895-opbase,sve2,sve2,,,950,-0.79,e2e_30f,,yes,reports/dct-950-e2e-20260816.txt
,interp8-ir-9shapes,interleaved-100f-710,c/neon,neon,,,710,0.08,e2e_100f,,yes,reports/interp8-ir-710-20260816.txt
,interp8-ir-9shapes,interleaved-100f-920b,c/neon,neon,,,920B,3.08,e2e_100f,,yes,reports/interp8-ir-920b-20260816.txt
,interp8-ir-9shapes,ir-hpp-100f,c/neon,neon,,,920B,-1.55,e2e_100f,,yes,reports/interp8-ir-920b-20260816.txt
,interp8-ir-9shapes,ir-hpp-100f-710,c/neon,neon,,,710,-1.13,e2e_100f,,yes,reports/interp8-ir-710-20260816.txt
,interp8-ir-9shapes,ir-hpp-30f,c/neon,neon,,,920B,-1.5,e2e_30f,,yes,reports/interp8-ir-920b-20260816.txt
,interp8-ir-9shapes,ir-hpp-30f-710,c/neon,neon,,,710,-1.59,e2e_30f,,yes,reports/interp8-ir-710-20260816.txt
bundle,ir-all-7k,ir-all,mixed,mixed,,,N1,-0.48,e2e_30f,,yes,docs/59-handoff-20260816.md
bundle,ir-dct,four-arm-100f,mixed,mixed,,,N1,-0.02,e2e_100f,,yes,reports/four-arm-n1-100f-20260816.txt
,ir-dct,inject-100f-710,mixed,mixed,,,710,-1.15,e2e_100f,,yes,reports/710-dct-ir-additivity-20260816.txt
,ir-dct,inject-100f-710-r2,mixed,mixed,,,710,-1.07,e2e_100f,,yes,reports/710-dct-ir-additivity-20260816.txt
,ir-dct,inject-100f-n1,mixed,mixed,,,N1,-1.4,e2e_100f,,yes,reports/n1-four-arm-inject-20260816.txt
,pure-sve-dct,inject-100f-710,sve2,sve2,,,710,2.63,e2e_100f,,yes,reports/pure-sve-dct-710-20260817.txt
pixel,sa8d-8,sa8d8_A,neon,neon,100,,920B,5069.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,sa8d-8,sa8d8_A,neon,neon,100,,N1,1728.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,sa8d-8,sa8d8_B,neon,neon,101,,920B,5107.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,sa8d-8,sa8d8_B,neon,neon,101,,N1,1733.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,sa8d-8,sa8d8_C,neon,neon,100,,920B,5106.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,sa8d-8,sa8d8_C,neon,neon,100,,N1,1728.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,sa8d16,ir,c/neon,neon,404,485,920B,1.04,kernel,ratio_neon_cand,yes,docs/66-multi-isa-kernels-survey-20260816.md
sao,sao-stats-e0,ir,sve2,sve2,167,184,710,-15.0,kernel,ticks_pct,yes,docs/66-multi-isa-kernels-survey-20260816.md
pixel,satd-16x8,satd16x8_A,neon,neon,150,,920B,6037.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-16x8,satd16x8_A,neon,neon,150,,N1,2266.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-16x8,satd16x8_B,neon,neon,154,,920B,6634.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-16x8,satd16x8_B,neon,neon,154,,N1,2586.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-16x8,satd16x8_C,neon,neon,150,,920B,6105.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-16x8,satd16x8_C,neon,neon,150,,N1,2287.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8,satd8_A,neon,neon,76,,920B,3634.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8,satd8_A,neon,neon,76,,N1,1204.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8,satd8_B,neon,neon,76,,920B,3630.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8,satd8_B,neon,neon,76,,N1,1204.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8,satd8_C,neon,neon,76,,920B,3896.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8,satd8_C,neon,neon,76,,N1,1263.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8,satd8_D,neon,neon,93,,920B,4758.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8,satd8_D,neon,neon,93,,N1,1699.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8,satd8_E,neon,neon,76,,920B,3630.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8,satd8_E,neon,neon,76,,N1,1203.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8x16,satd8x16_A,neon,neon,152,,920B,6089.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8x16,satd8x16_A,neon,neon,152,,N1,2260.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8x16,satd8x16_B,neon,neon,156,,920B,7930.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8x16,satd8x16_B,neon,neon,156,,N1,2818.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8x16,satd8x16_C,neon,neon,152,,920B,6145.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8x16,satd8x16_C,neon,neon,152,,N1,2254.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8x4,satd8x4_A,neon,neon,38,,920B,1796.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8x4,satd8x4_A,neon,neon,38,,N1,675.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8x4,satd8x4_B,neon,neon,38,,920B,1795.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8x4,satd8x4_B,neon,neon,38,,N1,675.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8x4,satd8x4_C,neon,neon,38,,920B,1863.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
pixel,satd-8x4,satd8x4_C,neon,neon,38,,N1,668.0,kernel,ticks,yes,reports/ago-m2-expanded-ranking-20260816.txt
,scan-pos-last,inject-100f-920b,neon,neon,,,920B,-1.23,e2e_100f,,yes,reports/entropy-scan-920b-interleaved-20260817.txt
