1,1,0,195,226
1,2,0,192,226
1,3,0,209,225
1,4,0,200,225
1,5,0,200,225
1,6,1,191,225
1,7,1,190,226
1,8,1,193,226
1,9,0,192,226
1,10,1,192,226
1,11,1,191,226
1,12,0,211,229
1,13,1,191,226
1,14,0,213,226
1,15,0,201,226
1,16,1,199,225
1,17,0,208,225
1,18,0,200,225
1,19,1,191,226
1,20,0,191,226
1,21,0,194,226
1,22,1,202,226
1,23,0,191,225
1,24,0,191,226
1,25,1,199,225
1,26,1,191,226
1,27,1,218,226
1,28,0,192,225
1,29,1,191,226
1,30,0,192,226
2,1,1,205,226
2,2,1,211,226
2,3,1,191,226
2,4,1,209,226
2,5,1,199,226
2,6,0,200,226
2,7,0,214,225
2,8,1,200,225
2,9,0,200,226
2,10,1,200,226
2,11,1,193,226
2,12,1,194,225
2,13,1,210,226
2,14,1,191,225
2,15,0,195,225
2,16,1,208,226
2,17,1,190,226
2,18,1,200,226
2,19,0,191,226
2,20,1,191,226
2,21,0,191,226
2,22,1,191,231
2,23,0,210,226
2,24,1,194,225
2,25,1,203,226
2,26,0,207,226
2,27,1,200,226
2,28,0,192,226
2,29,1,202,226
2,30,0,193,226
3,1,0,192,226
3,2,0,207,226
3,3,0,191,226
3,4,1,199,228
3,5,1,209,226
3,6,1,204,225
3,7,0,193,225
3,8,0,200,226
3,9,0,208,226
3,10,0,191,226
3,11,1,208,226
3,12,1,192,225
3,13,1,194,226
3,14,0,201,226
3,15,0,191,225
3,16,1,191,226
3,17,0,202,229
3,18,0,191,226
3,19,0,191,226
3,20,0,191,226
3,21,0,191,226
3,22,1,199,226
3,23,0,191,226
3,24,0,193,226
3,25,1,192,225
3,26,0,191,226
3,27,0,191,226
3,28,0,200,226
3,29,0,190,226
3,30,0,190,226
4,1,0,213,225
4,2,1,191,225
4,3,1,190,225
4,4,0,192,226
4,5,0,199,226
4,6,1,209,226
4,7,1,199,229
4,8,0,191,226
4,9,1,206,226
4,10,0,195,225
4,11,0,191,226
4,12,0,192,225
4,13,0,199,226
4,14,0,198,226
4,15,1,199,226
4,16,1,208,226
4,17,1,200,226
4,18,1,200,226
4,19,1,192,226
4,20,1,191,225
4,21,1,200,226
4,22,0,211,225
4,23,1,191,226
4,24,1,192,226
4,25,1,209,226
4,26,0,209,226
4,27,1,207,226
4,28,1,191,225
4,29,1,199,226
4,30,1,208,226
5,1,1,215,226
5,2,0,214,226
5,3,1,200,226
5,4,1,191,232
5,5,1,191,226
5,6,1,191,225
5,7,0,212,225
5,8,1,216,226
5,9,0,191,225
5,10,0,191,225
5,11,1,191,226
5,12,0,209,226
5,13,0,204,226
5,14,1,191,226
5,15,1,191,231
5,16,1,198,226
5,17,0,209,225
5,18,0,210,226
5,19,0,190,226
5,20,1,190,225
5,21,0,191,225
5,22,1,201,226
5,23,1,205,226
5,24,1,190,226
5,25,1,191,226
5,26,0,209,226
5,27,0,191,226
5,28,1,211,226
5,29,1,192,226
5,30,1,190,225
