1,1,0,413122,586364
1,2,0,466122,557283
1,3,1,473843,555003
1,4,0,454123,695684
1,5,1,417522,530004
1,6,1,485083,560803
1,7,0,456003,548404
1,8,0,440123,597364
1,9,1,457203,548684
1,10,0,435602,554764
1,11,1,434403,533204
1,12,1,443842,544163
1,13,0,439203,543323
1,14,0,458003,563324
1,15,1,433203,538883
1,16,1,428922,540363
1,17,0,441203,530043
1,18,1,451403,529844
1,19,1,436963,551524
1,20,0,445923,533203
1,21,1,463283,574884
1,22,0,441362,535523
1,23,0,459763,588324
1,24,0,442922,553164
1,25,0,451243,549963
1,26,0,467003,567444
1,27,1,434162,531484
1,28,1,446363,554604
1,29,0,439123,546283
1,30,1,456082,537043
2,1,1,428083,531043
2,2,1,417002,540683
2,3,1,408443,532524
2,4,1,489603,535804
2,5,1,436723,562003
2,6,1,450683,554204
2,7,1,468243,574364
2,8,1,473643,576404
2,9,1,451563,554403
2,10,1,464003,542723
2,11,1,456363,548924
2,12,1,447643,545043
2,13,1,454762,578204
2,14,0,448682,524843
2,15,1,454363,556643
2,16,0,449763,559323
2,17,0,444642,524124
2,18,0,433603,537004
2,19,0,426403,520763
2,20,0,423883,543084
2,21,0,445763,518243
2,22,1,428843,515243
2,23,1,444963,531643
2,24,1,426203,552444
2,25,0,430322,557403
2,26,0,464122,561884
2,27,0,449803,595324
2,28,0,449523,516643
2,29,0,432043,535484
2,30,1,425042,531084
3,1,0,434242,540563
3,2,0,428963,521923
3,3,1,426163,538843
3,4,1,436483,534563
3,5,0,422282,531004
3,6,1,420762,527604
3,7,0,426563,568484
3,8,1,428163,527683
3,9,1,469643,542243
3,10,0,448763,528963
3,11,0,433042,572123
3,12,0,469283,525243
3,13,1,454963,523723
3,14,0,442803,523124
3,15,0,430283,526403
3,16,1,410842,535964
3,17,1,425963,526324
3,18,1,414083,518563
3,19,0,430883,570963
3,20,1,455003,578483
3,21,1,419162,519283
3,22,0,415562,542923
3,23,1,466163,585164
3,24,0,467082,535443
3,25,1,433763,539203
3,26,0,428522,580044
3,27,1,465083,546564
3,28,1,478763,598164
3,29,1,427763,553403
3,30,1,463163,538843
4,1,0,466483,520843
4,2,1,459683,547484
4,3,1,433282,495523
4,4,0,456483,540203
4,5,0,460643,537964
4,6,1,465002,563043
4,7,0,451763,578363
4,8,1,468563,566164
4,9,1,444883,550123
4,10,1,454803,566004
4,11,1,1317168,581004
4,12,1,438803,554123
4,13,0,434122,543844
4,14,1,420442,571923
4,15,0,432522,566763
4,16,0,469163,515683
4,17,1,440603,528923
4,18,1,463843,571443
4,19,1,447683,517603
4,20,1,429082,532483
4,21,1,430202,574164
4,22,0,437243,559843
4,23,0,450482,544764
4,24,1,465482,594524
4,25,1,442963,552723
4,26,0,423882,555163
4,27,1,450803,555964
4,28,1,464523,562004
4,29,0,461443,550924
4,30,0,488923,518163
5,1,0,439403,540964
5,2,1,456443,551404
5,3,1,452283,565204
5,4,0,460522,583203
5,5,0,469003,562283
5,6,1,449283,557763
5,7,1,446043,537923
5,8,0,451083,530004
5,9,0,439682,554164
5,10,0,471603,556203
5,11,0,462043,558883
5,12,1,479043,554483
5,13,1,439763,531764
5,14,0,432722,545644
5,15,0,432043,539484
5,16,1,466162,544803
5,17,1,429563,523764
5,18,1,464803,551763
5,19,0,432843,605284
5,20,0,465603,549524
5,21,1,483123,559364
5,22,0,474483,556203
5,23,1,456683,559683
5,24,0,546523,554883
5,25,0,439642,539883
5,26,0,474723,539963
5,27,0,438282,537404
5,28,1,463923,724084
5,29,0,471043,561883
5,30,1,443323,550884
