1,1,1,209,226
1,2,0,190,225
1,3,0,198,225
1,4,1,199,225
1,5,0,190,225
1,6,1,190,228
1,7,0,190,225
1,8,0,210,225
1,9,1,210,225
1,10,1,190,225
1,11,0,190,228
1,12,0,208,229
1,13,0,198,229
1,14,1,199,225
1,15,1,208,225
1,16,1,198,225
1,17,0,190,225
1,18,1,197,226
1,19,0,190,225
1,20,1,190,229
1,21,0,190,225
1,22,0,200,225
1,23,1,217,225
1,24,0,190,226
1,25,1,219,225
1,26,1,190,225
1,27,1,191,226
1,28,1,203,225
1,29,1,199,225
1,30,0,198,225
2,1,0,190,225
2,2,0,203,225
2,3,1,197,225
2,4,1,202,225
2,5,0,199,225
2,6,1,198,226
2,7,0,190,225
2,8,0,190,225
2,9,0,210,225
2,10,0,190,226
2,11,0,190,225
2,12,1,190,225
2,13,0,190,225
2,14,1,215,225
2,15,1,199,226
2,16,1,190,229
2,17,1,190,225
2,18,0,202,225
2,19,0,190,225
2,20,0,207,225
2,21,0,191,225
2,22,0,190,225
2,23,0,190,225
2,24,0,197,231
2,25,0,198,225
2,26,0,217,226
2,27,0,190,225
2,28,1,190,225
2,29,1,191,226
2,30,0,190,225
3,1,0,210,225
3,2,1,190,225
3,3,1,211,225
3,4,1,208,225
3,5,0,209,225
3,6,1,199,225
3,7,0,191,225
3,8,0,190,225
3,9,0,199,225
3,10,0,208,226
3,11,1,190,225
3,12,1,190,229
3,13,1,208,225
3,14,1,199,225
3,15,0,202,225
3,16,1,208,226
3,17,1,198,226
3,18,1,197,225
3,19,0,197,225
3,20,1,200,225
3,21,0,191,225
3,22,1,190,225
3,23,1,190,225
3,24,0,190,225
3,25,1,191,225
3,26,1,200,225
3,27,1,190,225
3,28,1,191,225
3,29,0,198,225
3,30,0,207,225
4,1,1,199,225
4,2,1,190,229
4,3,0,198,225
4,4,1,190,225
4,5,0,206,225
4,6,1,190,225
4,7,0,190,227
4,8,0,206,225
4,9,1,190,225
4,10,1,217,225
4,11,0,190,225
4,12,0,198,225
4,13,0,199,225
4,14,1,198,225
4,15,0,207,230
4,16,1,190,226
4,17,1,208,225
4,18,1,190,225
4,19,0,190,225
4,20,1,190,226
4,21,1,190,225
4,22,0,197,225
4,23,1,212,225
4,24,0,198,225
4,25,1,197,225
4,26,1,190,225
4,27,1,190,225
4,28,0,190,225
4,29,0,190,231
4,30,0,191,225
5,1,0,197,226
5,2,1,199,225
5,3,1,190,225
5,4,1,190,226
5,5,0,190,225
5,6,1,194,226
5,7,0,198,225
5,8,0,212,225
5,9,0,198,225
5,10,0,191,225
5,11,1,190,226
5,12,1,190,225
5,13,1,215,225
5,14,1,190,225
5,15,1,189,225
5,16,1,190,230
5,17,1,191,225
5,18,0,198,225
5,19,1,198,225
5,20,0,198,229
5,21,1,190,225
5,22,0,207,225
5,23,0,190,225
5,24,1,189,225
5,25,1,192,225
5,26,1,190,225
5,27,1,190,225
5,28,1,190,225
5,29,0,190,225
5,30,1,199,228
