1,1,1,257540,290670
1,2,1,258560,293830
1,3,1,259270,282760
1,4,1,273490,299200
1,5,1,270470,300690
1,6,0,268990,292370
1,7,0,271920,296670
1,8,0,267600,288720
1,9,1,269840,310370
1,10,0,273000,307150
1,11,0,272590,301200
1,12,1,262670,298100
1,13,1,272440,295290
1,14,0,269450,300330
1,15,1,293620,310860
1,16,0,277950,295980
1,17,1,277540,298930
1,18,1,268330,330000
1,19,0,273510,299990
1,20,0,285370,308630
1,21,1,277420,306390
1,22,0,270740,299880
1,23,1,274640,302350
1,24,0,279890,355240
1,25,0,273150,297240
1,26,1,272860,299820
1,27,0,272000,297480
1,28,1,271780,307120
1,29,1,269560,296140
1,30,1,265470,297180
2,1,1,272920,298690
2,2,0,270530,298970
2,3,1,276820,303920
2,4,0,272590,300890
2,5,0,269840,301150
2,6,0,274880,299400
2,7,1,285720,300580
2,8,1,274270,357680
2,9,0,279470,288580
2,10,0,255900,282400
2,11,1,261630,285990
2,12,1,265070,292580
2,13,1,260210,342260
2,14,0,272920,302550
2,15,1,276560,298940
2,16,1,265160,301910
2,17,1,268620,308480
2,18,1,265280,294950
2,19,0,268410,297920
2,20,1,275550,329370
2,21,0,273460,309820
2,22,0,271120,296670
2,23,0,268350,298360
2,24,0,281510,296290
2,25,0,278910,298870
2,26,1,265980,299920
2,27,0,266720,291230
2,28,1,276620,299690
2,29,1,277230,307530
2,30,1,267630,310110
3,1,1,270770,301800
3,2,1,271150,298640
3,3,0,270630,299830
3,4,1,277400,306970
3,5,0,283160,296710
3,6,1,267700,301230
3,7,0,268200,307950
3,8,0,288780,298660
3,9,0,278660,310640
3,10,0,273530,307810
3,11,1,277610,301510
3,12,1,273020,304630
3,13,0,280470,355350
3,14,0,267540,295730
3,15,1,268950,299550
3,16,0,291030,298180
3,17,1,280980,302500
3,18,1,271610,304120
3,19,1,287550,300300
3,20,1,274140,311650
3,21,0,271320,311840
3,22,1,274120,292210
3,23,0,268200,299660
3,24,0,272070,312840
3,25,0,271810,305770
3,26,0,340720,297340
3,27,0,261850,296310
3,28,0,274900,296240
3,29,0,270700,297880
3,30,1,264670,303210
4,1,0,267700,294360
4,2,0,276740,298350
4,3,1,274810,295420
4,4,1,271180,295380
4,5,0,273230,298030
4,6,0,271390,300040
4,7,1,272490,306420
4,8,1,274140,298270
4,9,0,278790,309060
4,10,1,272790,300020
4,11,1,286840,328090
4,12,1,276030,302550
4,13,0,285440,288430
4,14,0,257040,282570
4,15,0,256250,299630
4,16,1,261870,345300
4,17,1,269820,290680
4,18,0,266390,292770
4,19,0,268100,297120
4,20,1,267240,309020
4,21,1,262070,293780
4,22,1,266850,295170
4,23,0,267750,294630
4,24,0,274720,296110
4,25,1,270200,296110
4,26,1,268870,293720
4,27,0,274070,300520
4,28,0,282550,369630
4,29,1,274270,300570
4,30,0,270240,303350
5,1,1,271540,295460
5,2,0,273500,297500
5,3,1,281970,307640
5,4,0,268190,297760
5,5,0,271510,301060
5,6,1,278750,305630
5,7,0,279640,310940
5,8,0,332140,302190
5,9,0,278500,303910
5,10,0,276130,305800
5,11,0,279410,337570
5,12,1,290560,313080
5,13,1,268680,304520
5,14,1,275080,300740
5,15,1,273670,301820
5,16,1,273840,320520
5,17,1,269980,295420
5,18,0,271050,305700
5,19,1,275670,307830
5,20,1,331360,306650
5,21,0,271690,295500
5,22,0,271120,296900
5,23,1,267120,300520
5,24,1,286950,302460
5,25,1,282490,314200
5,26,1,272550,302740
5,27,1,276690,301930
5,28,0,274050,299160
5,29,0,295490,300420
5,30,1,276200,296470
